,COUNTY,COUNTY_L,FIPS,NAME,NAME_L,ST,STATE,STCOUNTYFP,STATE_L,ZCTA,ZIP
30,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99788,99788
31,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99786,99786
32,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99785,99785
33,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99784,99784
34,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99783,99783
35,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99782,99782
36,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99781,99781
37,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99780,99780
38,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99778,99778
39,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99777,99777
40,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99776,99776
41,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99775,99775
42,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99774,99774
43,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99773,99773
44,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99772,99772
45,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99771,99771
46,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99770,99770
47,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99769,99769
48,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99768,99768
49,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99767,99767
50,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99766,99766
51,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99765,99765
52,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99764,99764
53,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99763,99763
54,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99762,99762
55,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99761,99761
56,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99760,99760
57,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99759,99759
58,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99758,99758
59,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99757,99757
60,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99756,99756
61,DENALI BOROUGH,Denali Borough,FIPS02068,DENALI,Denali,AK,ALASKA,02068,Alaska,ZCTA99755,99755
62,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99754,99754
63,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99753,99753
64,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99752,99752
65,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99751,99751
66,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99750,99750
67,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99749,99749
68,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99748,99748
69,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99747,99747
70,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99746,99746
71,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99745,99745
72,DENALI BOROUGH,Denali Borough,FIPS02068,DENALI,Denali,AK,ALASKA,02068,Alaska,ZCTA99744,99744
73,DENALI BOROUGH,Denali Borough,FIPS02068,DENALI,Denali,AK,ALASKA,02068,Alaska,ZCTA99743,99743
74,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99742,99742
75,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99741,99741
76,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99740,99740
77,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99739,99739
78,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99738,99738
79,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99737,99737
80,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99736,99736
81,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99734,99734
82,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99733,99733
83,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99732,99732
84,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,FIPS02240,SOUTHEAST FAIRBANKS,Southeast Fairbanks,AK,ALASKA,02240,Alaska,ZCTA99731,99731
85,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99730,99730
86,DENALI BOROUGH,Denali Borough,FIPS02068,DENALI,Denali,AK,ALASKA,02068,Alaska,ZCTA99729,99729
87,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,FIPS02188,NORTHWEST ARCTIC,Northwest Arctic,AK,ALASKA,02188,Alaska,ZCTA99727,99727
88,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99726,99726
89,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99725,99725
90,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99724,99724
91,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99723,99723
92,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99722,99722
93,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99721,99721
94,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99720,99720
95,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99714,99714
96,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99712,99712
97,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99709,99709
98,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99708,99708
99,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99707,99707
100,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99706,99706
101,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99705,99705
102,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99704,99704
103,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99703,99703
104,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99702,99702
105,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99701,99701
106,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99694,99694
107,VALDEZ-CORDOVA CENSUS AREA,Valdez-Cordova Census Area,FIPS02261,VALDEZ-CORDOVA,Valdez-Cordova,AK,ALASKA,02261,Alaska,ZCTA99693,99693
108,ALEUTIANS WEST CENSUS AREA,Aleutians West Census Area,FIPS02016,ALEUTIANS WEST,Aleutians West,AK,ALASKA,02016,Alaska,ZCTA99692,99692
109,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99691,99691
110,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99690,99690
111,YAKUTAT CITY AND BOROUGH,Yakutat City and Borough,FIPS02282,YAKUTAT,Yakutat,AK,ALASKA,02282,Alaska,ZCTA99689,99689
112,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99688,99688
113,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99687,99687
114,VALDEZ-CORDOVA CENSUS AREA,Valdez-Cordova Census Area,FIPS02261,VALDEZ-CORDOVA,Valdez-Cordova,AK,ALASKA,02261,Alaska,ZCTA99686,99686
115,ALEUTIANS WEST CENSUS AREA,Aleutians West Census Area,FIPS02016,ALEUTIANS WEST,Aleutians West,AK,ALASKA,02016,Alaska,ZCTA99685,99685
116,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99684,99684
117,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99683,99683
118,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,FIPS02122,KENAI PENINSULA,Kenai Peninsula,AK,ALASKA,02122,Alaska,ZCTA99682,99682
119,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99681,99681
120,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99680,99680
121,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99679,99679
122,DILLINGHAM CENSUS AREA,Dillingham Census Area,FIPS02070,DILLINGHAM,Dillingham,AK,ALASKA,02070,Alaska,ZCTA99678,99678
123,VALDEZ-CORDOVA CENSUS AREA,Valdez-Cordova Census Area,FIPS02261,VALDEZ-CORDOVA,Valdez-Cordova,AK,ALASKA,02261,Alaska,ZCTA99677,99677
124,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99676,99676
125,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99675,99675
126,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99674,99674
127,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,FIPS02122,KENAI PENINSULA,Kenai Peninsula,AK,ALASKA,02122,Alaska,ZCTA99672,99672
128,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99671,99671
129,BRISTOL BAY BOROUGH,Bristol Bay Borough,FIPS02060,BRISTOL BAY,Bristol Bay,AK,ALASKA,02060,Alaska,ZCTA99670,99670
130,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,FIPS02122,KENAI PENINSULA,Kenai Peninsula,AK,ALASKA,02122,Alaska,ZCTA99669,99669
131,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99668,99668
132,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99667,99667
133,WADE HAMPTON CENSUS AREA,Wade Hampton Census Area,FIPS02270,WADE HAMPTON,Wade Hampton,AK,ALASKA,02270,Alaska,ZCTA99666,99666
134,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,FIPS02290,YUKON-KOYUKUK,Yukon-Koyukuk,AK,ALASKA,02290,Alaska,ZCTA99665,99665
135,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,FIPS02122,KENAI PENINSULA,Kenai Peninsula,AK,ALASKA,02122,Alaska,ZCTA99664,99664
136,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,FIPS02122,KENAI PENINSULA,Kenai Peninsula,AK,ALASKA,02122,Alaska,ZCTA99663,99663
137,WADE HAMPTON CENSUS AREA,Wade Hampton Census Area,FIPS02270,WADE HAMPTON,Wade Hampton,AK,ALASKA,02270,Alaska,ZCTA99662,99662
138,ALEUTIANS EAST BOROUGH,Aleutians East Borough,FIPS02013,ALEUTIANS EAST,Aleutians East,AK,ALASKA,02013,Alaska,ZCTA99661,99661
139,ALEUTIANS WEST CENSUS AREA,Aleutians West Census Area,FIPS02016,ALEUTIANS WEST,Aleutians West,AK,ALASKA,02016,Alaska,ZCTA99660,99660
140,NOME CENSUS AREA,Nome Census Area,FIPS02180,NOME,Nome,AK,ALASKA,02180,Alaska,ZCTA99659,99659
141,WADE HAMPTON CENSUS AREA,Wade Hampton Census Area,FIPS02270,WADE HAMPTON,Wade Hampton,AK,ALASKA,02270,Alaska,ZCTA99658,99658
142,WADE HAMPTON CENSUS AREA,Wade Hampton Census Area,FIPS02270,WADE HAMPTON,Wade Hampton,AK,ALASKA,02270,Alaska,ZCTA99657,99657
143,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99656,99656
144,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99655,99655
145,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99654,99654
146,LAKE AND PENINSULA BOROUGH,Lake and Peninsula Borough,FIPS02164,LAKE PENINSULA,Lake Peninsula,AK,ALASKA,02164,Alaska,ZCTA99653,99653
147,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99652,99652
148,BETHEL CENSUS AREA,Bethel Census Area,FIPS02050,BETHEL,Bethel,AK,ALASKA,02050,Alaska,ZCTA99651,99651
149,WADE HAMPTON CENSUS AREA,Wade Hampton Census Area,FIPS02270,WADE HAMPTON,Wade Hampton,AK,ALASKA,02270,Alaska,ZCTA99650,99650
150,LAKE AND PENINSULA BOROUGH,Lake and Peninsula Borough,FIPS02164,LAKE PENINSULA,Lake Peninsula,AK,ALASKA,02164,Alaska,ZCTA99649,99649
151,LAKE AND PENINSULA BOROUGH,Lake and Peninsula Borough,FIPS02164,LAKE PENINSULA,Lake Peninsula,AK,ALASKA,02164,Alaska,ZCTA99648,99648
152,LAKE AND PENINSULA BOROUGH,Lake and Peninsula Borough,FIPS02164,LAKE PENINSULA,Lake Peninsula,AK,ALASKA,02164,Alaska,ZCTA99647,99647
153,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,FIPS02170,MATANUSKA-SUSITNA,Matanuska-Susitna,AK,ALASKA,02170,Alaska,ZCTA99645,99645
154,KODIAK ISLAND BOROUGH,Kodiak Island Borough,FIPS02150,KODIAK ISLAND,Kodiak Island,AK,ALASKA,02150,Alaska,ZCTA99644,99644
155,KODIAK ISLAND BOROUGH,Kodiak Island Borough,FIPS02150,KODIAK ISLAND,Kodiak Island,AK,ALASKA,02150,Alaska,ZCTA99643,99643
