Feature,Label
AHRF57,# Facilities Reporting Expenses ST Non-Gen + Long Term Hosps
AHRF58,# Facilities Reporting Expenses Short Term General Hospitals
AHRF59,# Facilities Reporting Expenses Veterans Hospitals
AHRF60,# Facs Reporting Payroll Expens ST Non-Gen + Long Term Hosps
AHRF61,# Facs Reporting Payroll Expens Short Term General Hospitals
AHRF62,# Fed Qualified Health Centers
AHRF63,# Gen Medical/Surgical LT Hosps
AHRF64,# Home Health Agencies
AHRF65,# Hosp Participating in Network
AHRF66,# Hosp W/APRN/Physician Assist Short Term General Hospitals
AHRF67,# Hosp W/Ablat of Barrets Esoph Short Term General Hospitals
AHRF68,# Hosp W/Acute Long-Term Care Short Term General Hospitals
AHRF69,# Hosp W/Adult Cardiac Surgery Short Term General Hospitals
AHRF70,# Hosp W/Adult Cardiology Serv Short Term General Hospitals
AHRF71,# Hosp W/Adult Day Care Program Short Term General Hospitals
AHRF72,# Hosp W/Adult Diagnostic Cath Short Term General Hospitals
AHRF73,# Hosp W/Airborne Inf Isol Room Short Term General Hospitals
AHRF74,# Hosp W/Alc/Chem Dep Prt Hosplzn Short Term General Hospitals
AHRF75,# Hosp W/Alc/Chem Depdnt OP Ser Short Term General Hospitals
AHRF76,# Hosp W/Alc/Chem Depdnt Ped Sv Short Term General Hospitals
AHRF77,# Hosp W/Alc/Drug Abuse IP Care Short Term General Hospitals
AHRF78,# Hosp W/Alzheimer Center Short Term General Hospitals
AHRF79,# Hosp W/Ambulance Services Short Term General Hospitals
AHRF80,# Hosp W/Ambulatory Surgery Ctr Short Term General Hospitals
AHRF81,# Hosp W/Anesth Svc APRN/PAs Short Term General Hospitals
AHRF82,# Hosp W/Arthritis Treatmt Cntr Short Term General Hospitals
AHRF83,# Hosp W/Assisted Living Short Term General Hospitals
AHRF84,# Hosp W/Assistv Technology Ctr Short Term General Hospitals
AHRF85,# Hosp W/Auxiliary Services Short Term General Hospitals
AHRF86,# Hosp W/Bariart/Wgt Cntrl Serv Short Term General Hospitals
AHRF87,# Hosp W/Blood Donor Center Short Term General Hospitals
AHRF88,# Hosp W/Breast Cancer Scrn/Mam Short Term General Hospitals
AHRF89,# Hosp W/Burn Care Short Term General Hospitals
AHRF90,# Hosp W/C.T. Scanner Short Term General Hospitals
AHRF91,# Hosp W/CARF Accreditation ST Non-Gen + Long Term Hosps
AHRF92,# Hosp W/CARF Accreditation Short Term General Hospitals
AHRF93,# Hosp W/Cardiac Intensive Care Short Term General Hospitals
AHRF94,# Hosp W/Cardiac Rehabilitation Short Term General Hospitals
AHRF95,# Hosp W/Case Management ST Non-Gen + Long Term Hosps
AHRF96,# Hosp W/Case Management Short Term General Hospitals
AHRF97,# Hosp W/Certified Trauma Cntr Short Term General Hospitals
AHRF98,# Hosp W/Chapl/Pastor Care Serv Short Term General Hospitals
AHRF99,# Hosp W/Chemotherapy Short Term General Hospitals
AHRF100,# Hosp W/Child Wellness Program Short Term General Hospitals
AHRF101,# Hosp W/Chiropractic Services Short Term General Hospitals
AHRF102,# Hosp W/Community Health Educ Short Term General Hospitals
AHRF103,# Hosp W/Community Outreach Short Term General Hospitals
AHRF104,# Hosp W/Computer Asst Orth Srg Short Term General Hospitals
AHRF105,# Hosp W/Crisis Prevention Short Term General Hospitals
AHRF106,# Hosp W/DNV Accreditation ST Gen Hsp;Det Norske Veritas
AHRF107,# Hosp W/DNV Accreditation STNG/LT Hsp;Det Norske Veritas
AHRF108,# Hosp W/Dental Services Short Term General Hospitals
AHRF109,# Hosp W/Diag Radioisotope Fac Short Term General Hospitals
AHRF110,# Hosp W/ERCP Short Term General Hospitals
AHRF111,# Hosp W/Electrodiagnostic Serv Short Term General Hospitals
AHRF112,# Hosp W/Emergency Department Short Term General Hospitals
AHRF113,# Hosp W/Enabling Services Short Term General Hospitals
AHRF114,# Hosp W/Endoscopic Ultrasound Short Term General Hospitals
AHRF115,# Hosp W/Esoph Impedance Study Short Term General Hospitals
AHRF116,# Hosp W/Extracorporeal Shock Short Term General Hospitals
AHRF117,# Hosp W/Fertility Clinic Short Term General Hospitals
AHRF118,# Hosp W/Fitness Center Short Term General Hospitals
AHRF119,# Hosp W/Freestandng Outpat Ctr Short Term General Hospitals
AHRF120,"# Hosp W/Gen Med/Surg Care, Ped Short Term General Hospitals"
AHRF121,"# Hosp W/Gen Med/Surg Cr, Adult Short Term General Hospitals"
AHRF122,# Hosp W/Geriatric Services ST Non-Gen + Long Term Hosps
AHRF123,# Hosp W/Geriatric Services Short Term General Hospitals
AHRF124,# Hosp W/HIV-AIDS Services Short Term General Hospitals
AHRF125,# Hosp W/Health Fair Short Term General Hospitals
AHRF126,# Hosp W/Health Research Short Term General Hospitals
AHRF127,# Hosp W/Health Screenings Short Term General Hospitals
AHRF128,# Hosp W/Heart Transplant Short Term General Hospitals
AHRF129,# Hosp W/Hemodialysis Short Term General Hospitals
AHRF130,# Hosp W/Home Health Services Short Term General Hospitals
AHRF131,# Hosp W/Hospice Short Term General Hospitals
AHRF132,# Hosp W/IP Palliative Cre Unit Short Term General Hospitals
AHRF133,# Hosp W/Image-guided Rad Ther Short Term General Hospitals
AHRF134,# Hosp W/Immunization Program Short Term General Hospitals
AHRF135,# Hosp W/Indigent Care Clinic Short Term General Hospitals
AHRF136,# Hosp W/Intermediate Nurs Care Short Term General Hospitals
AHRF137,# Hosp W/Intraoperative MRI Short Term General Hospitals
AHRF138,# Hosp W/JCAHO Accreditation ST Non-Gen + Long Term Hosps
AHRF139,# Hosp W/JCAHO Accreditation Short Term General Hospitals
AHRF140,# Hosp W/Kidney Transplant Short Term General Hospitals
AHRF141,# Hosp W/Ling/Translation Serv ST Non-Gen + Long Term Hosps
AHRF142,# Hosp W/Ling/Translation Serv Short Term General Hospitals
AHRF143,# Hosp W/Liver Transplant Short Term General Hospitals
AHRF144,# Hosp W/Lung Transplant Short Term General Hospitals
AHRF145,# Hosp W/Mag Resonance Imaging ST Non-Gen + Long Term Hosps
AHRF146,# Hosp W/Mag Resonance Imaging Short Term General Hospitals
AHRF147,# Hosp W/Magnetoencephalography Short Term General Hospitals
AHRF148,# Hosp W/Meals On Wheels Short Term General Hospitals
AHRF149,# Hosp W/Medical School Affiln ST Non-Gen + Long Term Hosps
AHRF150,# Hosp W/Medical School Affiln Short Term General Hospitals
AHRF151,# Hosp W/Medical School Affiln Veterans Hospitals
AHRF152,# Hosp W/Medical/Surg Intens Cr Short Term General Hospitals
AHRF153,# Hosp W/Medicare Certification ST Non-Gen + Long Term Hosps
AHRF154,# Hosp W/Medicare Certification Short Term General Hospitals
AHRF155,# Hosp W/Mobile Health Services Short Term General Hospitals
AHRF156,# Hosp W/Neonatal Intens Care Short Term General Hospitals
AHRF157,# Hosp W/Neonatal Intermed Care Short Term General Hospitals
AHRF158,# Hosp W/Neurological Services Short Term General Hospitals
AHRF159,# Hosp W/Nutrition Programs ST Non-Gen + Long Term Hosps
AHRF160,# Hosp W/Nutrition Programs Short Term General Hospitals
AHRF161,# Hosp W/Obstetric Care Short Term General Hospitals
AHRF162,# Hosp W/Occupational Hlth Serv ST Non-Gen + Long Term Hosps
AHRF163,# Hosp W/Occupational Hlth Serv Short Term General Hospitals
AHRF164,# Hosp W/Oncology Services Short Term General Hospitals
AHRF165,# Hosp W/Optical Colonoscopy Short Term General Hospitals
AHRF166,# Hosp W/Orthopedic Services Short Term General Hospitals
AHRF167,# Hosp W/Oth Transplant Service Short Term General Hospitals
AHRF168,# Hosp W/Other Care Short Term General Hospitals
AHRF169,# Hosp W/Other Intensive Care Short Term General Hospitals
AHRF170,# Hosp W/Other Long-Term Care Short Term General Hospitals
AHRF171,# Hosp W/Other Special Care Short Term General Hospitals
AHRF172,# Hosp W/Outpatient Surgery Short Term General Hospitals
AHRF173,# Hosp W/Pain Management Pgm Short Term General Hospitals
AHRF174,# Hosp W/Palliative Care Pgm Short Term General Hospitals
AHRF175,# Hosp W/Patient Ctrl Analgesia Short Term General Hospitals
AHRF176,# Hosp W/Patient Education Cntr Short Term General Hospitals
AHRF177,# Hosp W/Patient Repr Services ST Non-Gen + Long Term Hosps
AHRF178,# Hosp W/Patient Repr Services Short Term General Hospitals
AHRF179,# Hosp W/Ped Cardiac Electrophy Short Term General Hospitals
AHRF180,# Hosp W/Ped Cardiac Surgery Short Term General Hospitals
AHRF181,# Hosp W/Ped Diagnostic Cath Short Term General Hospitals
AHRF182,# Hosp W/Pediatric Emerg Depart Short Term General Hospitals
AHRF183,# Hosp W/Pediatric Intens Care Short Term General Hospitals
AHRF184,# Hosp W/Physical Rehab Care Short Term General Hospitals
AHRF185,# Hosp W/Physical Rehab OP Serv ST Non-Gen + Long Term Hosps
AHRF186,# Hosp W/Physical Rehab OP Serv Short Term General Hospitals
AHRF187,# Hosp W/Positron Emiss Tom/CT Short Term General Hospitals
AHRF188,# Hosp W/Positron Emission Tom Short Term General Hospitals
AHRF189,# Hosp W/Primary Care APRN/PAs Short Term General Hospitals
AHRF190,# Hosp W/Primary Care Dept Short Term General Hospitals
AHRF191,# Hosp W/Prosth and Orthotic Serv Short Term General Hospitals
AHRF192,# Hosp W/Proton Therapy Short Term General Hospitals
AHRF193,# Hosp W/Psych Consl/Liaisn Ser ST Non-Gen + Long Term Hosps
AHRF194,# Hosp W/Psych Consl/Liaisn Ser Short Term General Hospitals
AHRF195,# Hosp W/Psych Educational Serv Short Term General Hospitals
AHRF196,# Hosp W/Psych Emergency Serv Short Term General Hospitals
AHRF197,# Hosp W/Psych Geriatric Serv Short Term General Hospitals
AHRF198,# Hosp W/Psych Intensive OP Serv Short Term General Hospitals
AHRF199,# Hosp W/Psych Outpatient Serv Short Term General Hospitals
AHRF200,# Hosp W/Psych Part Hosp Ped Serv Short Term General Hospitals
AHRF201,# Hosp W/Psych Pediatric Serv Short Term General Hospitals
AHRF202,# Hosp W/Psych Prt Hosp Adult Serv Short Term General Hospitals
AHRF203,# Hosp W/Psych Resdntl Adult Trmt Short Term General Hospitals
AHRF204,# Hosp W/Psych Resdntl Ped Trmt Short Term General Hospitals
AHRF205,# Hosp W/Psychiatric Care Short Term General Hospitals
AHRF206,# Hosp W/Residency Training ST Non-Gen + Long Term Hosps
AHRF207,# Hosp W/Residency Training Short Term General Hospitals
AHRF208,# Hosp W/Retirement Housing Short Term General Hospitals
AHRF209,# Hosp W/Robot-Asst Walk Therap Short Term General Hospitals
AHRF210,# Hosp W/Robotic Surgery Short Term General Hospitals
AHRF211,# Hosp W/Rural Health Clinic Short Term General Hospitals
AHRF212,# Hosp W/Shaped Beam Rad System Short Term General Hospitals
AHRF213,# Hosp W/Simulated Rehab Enviro Short Term General Hospitals
AHRF214,# Hosp W/Skilled Nursing Care Short Term General Hospitals
AHRF215,# Hosp W/Sleep Center Short Term General Hospitals
AHRF216,# Hosp W/Social Work Services ST Non-Gen + Long Term Hosps
AHRF217,# Hosp W/Social Work Services Short Term General Hospitals
AHRF218,# Hosp W/Sports Medicine Short Term General Hospitals
AHRF219,# Hosp W/Stereotactic Radiosurg Short Term General Hospitals
AHRF220,# Hosp W/Support Groups ST Non-Gen + Long Term Hosps
AHRF221,# Hosp W/Support Groups Short Term General Hospitals
AHRF222,# Hosp W/Swing Bed Services Short Term General Hospitals
AHRF223,# Hosp W/Teen Outreach Services Short Term General Hospitals
AHRF224,# Hosp W/Telehealth Consl/Off Visit Short Term General Hospitals
AHRF225,# Hosp W/Telehealth Monitor Chron Care Short Term General Hospitals
AHRF226,# Hosp W/Telehealth Monitor Post Discharge Short Term General Hospitals
AHRF227,# Hosp W/Telehealth Psyc/Addict Trmt Short Term General Hospitals
AHRF228,# Hosp W/Telehealth Stroke Care Short Term General Hospitals
AHRF229,# Hosp W/Telehealth eICU Short Term General Hospitals
AHRF230,# Hosp W/Tissue Transplant Short Term General Hospitals
AHRF231,# Hosp W/Tobacco Treatment Serv Short Term General Hospitals
AHRF232,# Hosp W/Transport to Hlth Serv Short Term General Hospitals
AHRF233,# Hosp W/Ultrasound Short Term General Hospitals
AHRF234,# Hosp W/Urgent Care Center Short Term General Hospitals
AHRF235,# Hosp W/Virtual Colonoscopy Short Term General Hospitals
AHRF236,# Hosp W/Volunteer Serv Dept Short Term General Hospitals
AHRF237,# Hosp W/Women's Hlth Cntr/Serv Short Term General Hospitals
AHRF238,# Hosp W/Wound Mngmnt Services Short Term General Hospitals
AHRF239,# Hosp w/Hospitalists Care ST Non-Gen + Long Term Hosps
AHRF240,# Hosp w/Hospitalists Care Short Term General Hospitals
AHRF241,# Hospices
AHRF242,# Hsp Participtn in Phys Arrang Short Term General Hospitals
AHRF243,# Hsp W/ACS Cancer Pgm Approved ST Gen;Amer College of Surgeon
AHRF244,# Hsp W/ACS Cancer Pgm Approved STNG/LT;AmerCollege of Surgeon
AHRF245,# Hsp W/Amer Osteo Assoc Accred ST Non-Gen + Long Term Hosps
AHRF246,# Hsp W/Amer Osteo Assoc Accred Short Term General Hospitals
AHRF247,# Hsp W/Amer Osteo Assoc Intern ST Non-Gen + Long Term Hosps
AHRF248,# Hsp W/Amer Osteo Assoc Intern Short Term General Hospitals
AHRF249,# Hsp W/Amer Osteo Assoc Residn ST Non-Gen + Long Term Hosps
AHRF250,# Hsp W/Amer Osteo Assoc Residn Short Term General Hospitals
AHRF251,# Hsp W/Birth Rm/LDR Rm/LDRP Rm Short Term General Hospitals
AHRF252,# Hsp W/Enroll(Insur)Assist Pgm Short Term General Hospitals
AHRF253,# Hsp W/Full-field Digit Mammog Short Term General Hospitals
AHRF254,# Hsp W/Ped Cardiology Services Short Term General Hospitals
AHRF255,# Hsp W/Singl Photon Emis Tomog Short Term General Hospitals
AHRF256,# Intellectual Disablty LT Hsps
AHRF257,# Long Term Hospitals
AHRF258,# Medicare Advantage Enrollees
AHRF259,# Medicare Presc Drug Plan Enr
AHRF260,# Member Council Teaching Hosp ST Non-Gen + Long Term Hosps
AHRF261,# Member Council Teaching Hosp Short Term Community
AHRF262,# Member Council Teaching Hosp Short Term General Hospitals
AHRF263,# Member Council Teaching Hosp Veterans Hospitals
AHRF264,# NHSC Dental Sites w/Providers
AHRF265,# NHSC FTE Dental Providers
AHRF266,# NHSC FTE Mental Hlth Provider
AHRF267,# NHSC FTE Prim Care Providers
AHRF268,# NHSC FTE Providers
AHRF269,# NHSC Mentl Hlth Site w/Provdr Sites with Providers
AHRF270,# NHSC Prim Care Sites w/Provdr Sites with Providers
AHRF271,# NHSC Sites with Providers
AHRF272,# NHSC Total Active Sites
AHRF273,# Nursing Facilities
AHRF274,# Operating Rooms ST Non-Gen + Long Term Hosps
AHRF275,# Operating Rooms Short Term General Hospitals
AHRF276,# Patients Seen in VA Facility
AHRF277,# Psychiatric LT Hosps
AHRF278,# Psychiatric Short Term Hosps
AHRF279,# Rehabilitation LT Hosps
AHRF280,# Rehabilitation ST Hosps
AHRF281,# Rural Health Clinics
AHRF282,# Rural Referral Centers
AHRF283,"# ST Gen Hosp, 006-049 Beds"
AHRF284,"# ST Gen Hosp, 050-099 Beds"
AHRF285,"# ST Gen Hosp, 100-199 Beds"
AHRF286,"# ST Gen Hosp, 200-299 Beds"
AHRF287,"# ST Gen Hosp, 300+ Beds"
AHRF288,"# STNG/LT Hosps,006-049 Beds"
AHRF289,"# STNG/LT Hosps,050-099 Beds"
AHRF290,"# STNG/LT Hosps,100-199 Beds"
AHRF291,"# STNG/LT Hosps,200-299 Beds"
AHRF292,"# STNG/LT Hosps,300+ Beds"
AHRF293,# Short Term Community Hosps
AHRF294,# Short Term General Hosps
AHRF295,# Short Term Non-General Hosps
AHRF296,# Skilled Nursing Facilities
AHRF297,# Sole Community Providers
AHRF298,"# Surgical Operations, Inpatnt ST Non-Gen + Long Term Hosps"
AHRF299,"# Surgical Operations, Inpatnt Short Term General Hospitals"
AHRF300,"# Surgical Operations, Outpatnt ST Non-Gen + Long Term Hosps"
AHRF301,"# Surgical Operations, Outpatnt Short Term General Hospitals"
AHRF302,"# Surgical Operations, Total ST Non-Gen + Long Term Hosps"
AHRF303,"# Surgical Operations, Total Short Term General Hospitals"
AHRF304,"# Surgical Operations, Total Veterans Hospitals"
AHRF305,# Tot Fac Medicaid Inpat Dchrg ST Non-Gen + Long Term Hosps
AHRF306,# Tot Fac Medicaid Inpat Dchrg Short Term General Hospitals
AHRF307,# Tot Fac Medicare Inpat Dchrg ST Non-Gen + Long Term Hosps
AHRF308,# Tot Fac Medicare Inpat Dchrg Short Term General Hospitals
AHRF309,"# Veteran Hosp, 006-049 Beds"
AHRF310,"# Veteran Hosp, 050-099 Beds"
AHRF311,"# Veteran Hosp, 100-199 Beds"
AHRF312,"# Veteran Hosp, 200-299 Beds"
AHRF313,"# Veteran Hosp, 300+ Beds"
AHRF314,# Veterans' Hospitals
AHRF315,#18-64 no HlthIns <=138% Povrty
AHRF316,#18-64 no HlthIns <=200% Povrty
AHRF317,#18-64 no HlthIns <=400% Povrty
AHRF318,#18-64 w/Hlth Ins <=200% Povrty
AHRF319,#18-64 w/HlthIns <=138% Poverty
AHRF320,#18-64 w/HlthIns <=400% Poverty
AHRF321,#Days Measured Air Quality Good
AHRF322,#Dsgntd Txc Site Not Undr Cntrl
AHRF323,#Dsgntd Txc Site w/Insuff Data
AHRF324,#Hosp W/Genetic Test/Counseling Short Term General Hospitals
AHRF325,#Hsp W/Adlt Intervntnl Card Cth Short Term General Hospitals
AHRF326,#Hsp W/Adult Cardiac Electrophy Short Term General Hospitals
AHRF327,#Hsp W/Bone Marrow Transplt Ser Short Term General Hospitals
AHRF328,#Hsp W/Complmnt/Altern Med Serv Short Term General Hospitals
AHRF329,#Hsp W/Electrn Beam Comp Tomogr Short Term General Hospitals
AHRF330,#Hsp W/Hsp-Bsd Outpat Cr Ctr/Sv Short Term General Hospitals
AHRF331,#Hsp W/Intens-Modulatd Rad Ther Short Term General Hospitals
AHRF332,#Hsp W/Multislce Sp Com Tom 64+ Short Term General Hospitals
AHRF333,#Hsp W/Multislce Sp Com Tom <64 Short Term General Hospitals
AHRF334,#Hsp W/Ped Intervntnl Card Cath Short Term General Hospitals
AHRF335,#Hsp W/Violence Prev Pgm-Comm Short Term General Hospitals
AHRF336,#Hsp W/Violence Prev Pgm-Wrkplc Short Term General Hospitals
AHRF337,% 18-64 no HlthIns <=138% Povrty
AHRF338,% 18-64 no HlthIns <=200% Povrty
AHRF339,% 18-64 no HlthIns <=400% Povrty
AHRF340,% 18-64 without Health Ins
AHRF341,% 40-64 without Health Ins
AHRF342,% <19 no HlthIns <=138% Poverty
AHRF343,% <19 no HlthIns <=200% Poverty
AHRF344,% <19 no HlthIns <=400% Poverty
AHRF345,% <19 without Health Insurance
AHRF346,% <65 no HlthIns <=138% Poverty
AHRF347,% <65 no HlthIns <=200% Poverty
AHRF348,% <65 no HlthIns <=400% Poverty
AHRF349,% <65 without Health Insurance
AHRF350,% Females <65 without Hlth Ins
AHRF351,% Fmles 18-64 without Hlth Ins
AHRF352,% Fmles 40-64 without Hlth Ins
AHRF353,% Good Air Quality Days
AHRF354,% Males 18-64 without Hlth Ins
AHRF355,% Males 40-64 without Hlth Ins
AHRF356,% Males <65 without Health Ins
AHRF357,% Medcr Benef Elig for Medcaid Fee for Service
AHRF358,% Medcre Advantage Penetration Enrollees/Eligibles
AHRF359,% Medcre Benef Using IP Service FFS;1 or More Covrd Stay
AHRF360,% Medcre Presc Drug Plan Penetr Enrollees/Eligibles
AHRF361,% Medicare FFS Benef Female Fee for Service
AHRF362,% Medicare FFS Benef Male Fee for Service
AHRF363,3-Yr AIDS Deaths-16
AHRF364,3-Yr AIDS Deaths-17
AHRF365,3-Yr Births - Preterm-16
AHRF366,3-Yr Births - Preterm-17
AHRF367,3-Yr Births to Teens < 18 Yrs-16
AHRF368,3-Yr Births to Teens < 18 Yrs-17
AHRF369,3-Yr Births to Unmarried Mother-16
AHRF370,3-Yr Births to Unmarried Mother-17
AHRF371,3-Yr Black Births-16
AHRF372,3-Yr Black Births-17
AHRF373,3-Yr Black Female Births-16
AHRF374,3-Yr Black Female Births-17
AHRF375,3-Yr Black Female Deaths-16
AHRF376,3-Yr Black Female Deaths-17
AHRF377,3-Yr Black Fmle Infant Deaths-16
AHRF378,3-Yr Black Fmle Infant Deaths-17
AHRF379,3-Yr Black Male Births-16
AHRF380,3-Yr Black Male Births-17
AHRF381,3-Yr Black Male Deaths-16
AHRF382,3-Yr Black Male Deaths-17
AHRF383,3-Yr Black Male Infant Deaths-16
AHRF384,3-Yr Black Male Infant Deaths-17
AHRF385,3-Yr Blk Low Birth Weight Birth-16
AHRF386,3-Yr Blk Low Birth Weight Birth-17
AHRF387,3-Yr Cerebrovascular Disease-16
AHRF388,3-Yr Cerebrovascular Disease-17
AHRF389,3-Yr Chrnic Liver DisandCirrhosis-16
AHRF390,3-Yr Chrnic Liver DisandCirrhosis-17
AHRF391,3-Yr Chronic Lower Resp Dis-16
AHRF392,3-Yr Chronic Lower Resp Dis-17
AHRF393,3-Yr Deaths From Other Causes-16
AHRF394,3-Yr Deaths From Other Causes-17
AHRF395,3-Yr Diabetes-16
AHRF396,3-Yr Diabetes-17
AHRF397,3-Yr Hispanic Births-16
AHRF398,3-Yr Hispanic Births-17
AHRF399,3-Yr Hispanic Female Births-16
AHRF400,3-Yr Hispanic Female Births-17
AHRF401,3-Yr Hispanic Female Deaths-16
AHRF402,3-Yr Hispanic Female Deaths-17
AHRF403,3-Yr Hispanic Fmle Infant Death-16
AHRF404,3-Yr Hispanic Fmle Infant Death-17
AHRF405,3-Yr Hispanic Male Births-16
AHRF406,3-Yr Hispanic Male Births-17
AHRF407,3-Yr Hispanic Male Deaths-16
AHRF408,3-Yr Hispanic Male Deaths-17
AHRF409,3-Yr Hispanic Male Infant Death-16
AHRF410,3-Yr Hispanic Male Infant Death-17
AHRF411,3-Yr HomicidesandLegal Interventn-16
AHRF412,3-Yr HomicidesandLegal Interventn-17
AHRF413,3-Yr Infectious and Para. Disease-16
AHRF414,3-Yr Infectious and Para. Disease-17
AHRF415,3-Yr Influenza and Pneumonia-16
AHRF416,3-Yr Influenza and Pneumonia-17
AHRF417,3-Yr Ischemic Heart Disease-16
AHRF418,3-Yr Ischemic Heart Disease-17
AHRF419,3-Yr Malignant Neoplasms-16
AHRF420,3-Yr Malignant Neoplasms-17
AHRF421,3-Yr Mortality Age 1-4 Years-16
AHRF422,3-Yr Mortality Age 1-4 Years-17
AHRF423,3-Yr Mortality Age 15-24 Years-16
AHRF424,3-Yr Mortality Age 15-24 Years-17
AHRF425,3-Yr Mortality Age 25-34 Years-16
AHRF426,3-Yr Mortality Age 25-34 Years-17
AHRF427,3-Yr Mortality Age 35-44 Years-16
AHRF428,3-Yr Mortality Age 35-44 Years-17
AHRF429,3-Yr Mortality Age 45-54 Years-16
AHRF430,3-Yr Mortality Age 45-54 Years-17
AHRF431,3-Yr Mortality Age 5-14 Years-16
AHRF432,3-Yr Mortality Age 5-14 Years-17
AHRF433,3-Yr Mortality Age 55-64 Years-16
AHRF434,3-Yr Mortality Age 55-64 Years-17
AHRF435,3-Yr Mortality Age 65-74 Years-16
AHRF436,3-Yr Mortality Age 65-74 Years-17
AHRF437,3-Yr Mortality Age 75-84 Years-16
AHRF438,3-Yr Mortality Age 75-84 Years-17
AHRF439,3-Yr Mortality Age 85+ Years-16
AHRF440,3-Yr Mortality Age 85+ Years-17
AHRF441,3-Yr Mortality Age < 1 Year-16
AHRF442,3-Yr Mortality Age < 1 Year-17
AHRF443,3-Yr Motor Vehicle Accidents-16
AHRF444,3-Yr Motor Vehicle Accidents-17
AHRF445,3-Yr Oth Low Birth Weight Birth-16
AHRF446,3-Yr Oth Low Birth Weight Birth-17
AHRF447,3-Yr Other Births-16
AHRF448,3-Yr Other Births-17
AHRF449,3-Yr Other Cardiovas Disease-16
AHRF450,3-Yr Other Cardiovas Disease-17
AHRF451,3-Yr Other External Causes-16
AHRF452,3-Yr Other External Causes-17
AHRF453,3-Yr Other Female Births-16
AHRF454,3-Yr Other Female Births-17
AHRF455,3-Yr Other Female Deaths-16
AHRF456,3-Yr Other Female Deaths-17
AHRF457,3-Yr Other Fmle Infant Deaths-16
AHRF458,3-Yr Other Fmle Infant Deaths-17
AHRF459,3-Yr Other Male Births-16
AHRF460,3-Yr Other Male Births-17
AHRF461,3-Yr Other Male Deaths-16
