,Feature,Label,Full
82,DP02_0021PE,RELATIONSHIP Population in households Other relatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives
86,DP02_0022PE,RELATIONSHIP Population in households Nonrelatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives
90,DP02_0023PE,RELATIONSHIP Population in households Nonrelatives Unmarried partner,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
94,DP02_0024PE,MARITAL STATUS Males 15 years and over,Percent Estimate!!MARITAL STATUS!!Males 15 years and over
98,DP02_0025PE,MARITAL STATUS Males 15 years and over Never married,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married
102,DP02_0026PE,"MARITAL STATUS Males 15 years and over Now married, except separated","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
106,DP02_0027PE,MARITAL STATUS Males 15 years and over Separated,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated
110,DP02_0028PE,MARITAL STATUS Males 15 years and over Widowed,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed
114,DP02_0029PE,MARITAL STATUS Males 15 years and over Divorced,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced
118,DP02_0030PE,MARITAL STATUS Females 15 years and over,Percent Estimate!!MARITAL STATUS!!Females 15 years and over
122,DP02_0031PE,MARITAL STATUS Females 15 years and over Never married,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married
126,DP02_0032PE,"MARITAL STATUS Females 15 years and over Now married, except separated","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
130,DP02_0033PE,MARITAL STATUS Females 15 years and over Separated,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated
134,DP02_0034PE,MARITAL STATUS Females 15 years and over Widowed,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed
138,DP02_0035PE,MARITAL STATUS Females 15 years and over Divorced,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced
142,DP02_0036PE,FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months,Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
146,DP02_0037PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Unmarried women (widowed, divorced, and never married)","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
150,DP02_0038PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Unmarried women (widowed, divorced, and never married) Per 1,000 unmarried women","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
154,DP02_0039PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 15 to 50 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
158,DP02_0040PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 15 to 19 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
162,DP02_0041PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 20 to 34 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
166,DP02_0042PE,"FERTILITY Number of women 15 to 50 years old who had a birth in the past 12 months Per 1,000 women 35 to 50 years old","Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
170,DP02_0043PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years
174,DP02_0044PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years Grandparents responsible for grandchildren,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
178,DP02_0045PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren Less than 1 year,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year
182,DP02_0046PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 1 or 2 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years
186,DP02_0047PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 3 or 4 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years
190,DP02_0048PE,GRANDPARENTS Number of grandparents living with own grandchildren under 18 years Years responsible for grandchildren 5 or more years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years
194,DP02_0049PE,GRANDPARENTS Number of grandparents responsible for own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years
198,DP02_0050PE,GRANDPARENTS Number of grandparents responsible for own grandchildren under 18 years Who are female,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
202,DP02_0051PE,GRANDPARENTS Number of grandparents responsible for own grandchildren under 18 years Who are married,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married
206,DP02_0052PE,SCHOOL ENROLLMENT Population 3 years and over enrolled in school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school
210,DP02_0053PE,"SCHOOL ENROLLMENT Population 3 years and over enrolled in school Nursery school, preschool","Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
214,DP02_0054PE,SCHOOL ENROLLMENT Population 3 years and over enrolled in school Kindergarten,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten
218,DP02_0055PE,SCHOOL ENROLLMENT Population 3 years and over enrolled in school Elementary school (grades 1-8),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)
222,DP02_0056PE,SCHOOL ENROLLMENT Population 3 years and over enrolled in school High school (grades 9-12),Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)
226,DP02_0057PE,SCHOOL ENROLLMENT Population 3 years and over enrolled in school College or graduate school,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school
230,DP02_0058PE,EDUCATIONAL ATTAINMENT Population 25 years and over,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
234,DP02_0059PE,EDUCATIONAL ATTAINMENT Population 25 years and over Less than 9th grade,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
238,DP02_0060PE,"EDUCATIONAL ATTAINMENT Population 25 years and over 9th to 12th grade, no diploma","Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
242,DP02_0061PE,EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate (includes equivalency),Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
246,DP02_0062PE,"EDUCATIONAL ATTAINMENT Population 25 years and over Some college, no degree","Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
250,DP02_0063PE,EDUCATIONAL ATTAINMENT Population 25 years and over Associate's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
254,DP02_0064PE,EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
258,DP02_0065PE,EDUCATIONAL ATTAINMENT Population 25 years and over Graduate or professional degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
262,DP02_0066PE,EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate or higher,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
266,DP02_0067PE,EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
270,DP02_0068PE,VETERAN STATUS Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over
274,DP02_0069PE,VETERAN STATUS Civilian population 18 years and over Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
278,DP02_0070PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION Total Civilian Noninstitutionalized Population,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
282,DP02_0071PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION Total Civilian Noninstitutionalized Population With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
286,DP02_0072PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years
290,DP02_0073PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION Under 18 years With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability
294,DP02_0074PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION 18 to 64 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years
298,DP02_0075PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION 18 to 64 years With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability
302,DP02_0076PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION 65 years and over,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
306,DP02_0077PE,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION 65 years and over With a disability,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
310,DP02_0078PE,RESIDENCE 1 YEAR AGO Population 1 year and over,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over
314,DP02_0079PE,RESIDENCE 1 YEAR AGO Population 1 year and over Same house,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house
318,DP02_0080PE,RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the U.S.,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.
322,DP02_0081PE,RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the U.S. Same county,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county
326,DP02_0082PE,RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the U.S. Different county,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county
330,DP02_0083PE,RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the U.S. Different county Same state,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state
334,DP02_0084PE,RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the U.S. Different county Different state,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state
338,DP02_0085PE,RESIDENCE 1 YEAR AGO Population 1 year and over Abroad,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad
342,DP02_0086PE,PLACE OF BIRTH Total population,Percent Estimate!!PLACE OF BIRTH!!Total population
346,DP02_0087PE,PLACE OF BIRTH Total population Native,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native
350,DP02_0088PE,PLACE OF BIRTH Total population Native Born in United States,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
354,DP02_0089PE,PLACE OF BIRTH Total population Native Born in United States State of residence,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
358,DP02_0090PE,PLACE OF BIRTH Total population Native Born in United States Different state,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state
362,DP02_0091PE,"PLACE OF BIRTH Total population Native Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
366,DP02_0092PE,PLACE OF BIRTH Total population Foreign born,Percent Estimate!!PLACE OF BIRTH!!Total population!!Foreign born
370,DP02_0093PE,U.S. CITIZENSHIP STATUS Foreign-born population,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population
374,DP02_0094PE,U.S. CITIZENSHIP STATUS Foreign-born population Naturalized U.S. citizen,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen
378,DP02_0095PE,U.S. CITIZENSHIP STATUS Foreign-born population Not a U.S. citizen,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen
382,DP02_0096PE,YEAR OF ENTRY Population born outside the United States,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States
386,DP02_0097PE,YEAR OF ENTRY Population born outside the United States Native,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native
390,DP02_0098PE,YEAR OF ENTRY Population born outside the United States Native Entered 2010 or later,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
394,DP02_0099PE,YEAR OF ENTRY Population born outside the United States Native Entered before 2010,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010
398,DP02_0100PE,YEAR OF ENTRY Population born outside the United States Foreign born,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born
402,DP02_0101PE,YEAR OF ENTRY Population born outside the United States Foreign born Entered 2010 or later,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later
406,DP02_0102PE,YEAR OF ENTRY Population born outside the United States Foreign born Entered before 2010,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010
410,DP02_0103PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea"
414,DP02_0104PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Europe","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe"
418,DP02_0105PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Asia","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia"
422,DP02_0106PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Africa","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa"
426,DP02_0107PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Oceania","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania"
430,DP02_0108PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Latin America","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America"
434,DP02_0109PE,"WORLD REGION OF BIRTH OF FOREIGN BORN Foreign-born population, excluding population born at sea Northern America","Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America"
438,DP02_0110PE,LANGUAGE SPOKEN AT HOME Population 5 years and over,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over
442,DP02_0111PE,LANGUAGE SPOKEN AT HOME Population 5 years and over English only,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only
446,DP02_0112PE,LANGUAGE SPOKEN AT HOME Population 5 years and over Language other than English,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English
450,DP02_0113PE,"LANGUAGE SPOKEN AT HOME Population 5 years and over Language other than English Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than very well"""""
454,DP02_0114PE,LANGUAGE SPOKEN AT HOME Population 5 years and over Spanish,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish
458,DP02_0115PE,"LANGUAGE SPOKEN AT HOME Population 5 years and over Spanish Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than very well"""""
462,DP02_0116PE,LANGUAGE SPOKEN AT HOME Population 5 years and over Other Indo-European languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
466,DP02_0117PE,"LANGUAGE SPOKEN AT HOME Population 5 years and over Other Indo-European languages Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than very well"""""
470,DP02_0118PE,LANGUAGE SPOKEN AT HOME Population 5 years and over Asian and Pacific Islander languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages
474,DP02_0119PE,"LANGUAGE SPOKEN AT HOME Population 5 years and over Asian and Pacific Islander languages Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than very well"""""
478,DP02_0120PE,LANGUAGE SPOKEN AT HOME Population 5 years and over Other languages,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages
482,DP02_0121PE,"LANGUAGE SPOKEN AT HOME Population 5 years and over Other languages Speak English less than very well""""","Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than very well"""""
486,DP02_0122PE,ANCESTRY Total population,Percent Estimate!!ANCESTRY!!Total population
490,DP02_0123PE,ANCESTRY Total population American,Percent Estimate!!ANCESTRY!!Total population!!American
494,DP02_0124PE,ANCESTRY Total population Arab,Percent Estimate!!ANCESTRY!!Total population!!Arab
498,DP02_0125PE,ANCESTRY Total population Czech,Percent Estimate!!ANCESTRY!!Total population!!Czech
502,DP02_0126PE,ANCESTRY Total population Danish,Percent Estimate!!ANCESTRY!!Total population!!Danish
506,DP02_0127PE,ANCESTRY Total population Dutch,Percent Estimate!!ANCESTRY!!Total population!!Dutch
510,DP02_0128PE,ANCESTRY Total population English,Percent Estimate!!ANCESTRY!!Total population!!English
514,DP02_0129PE,ANCESTRY Total population French (except Basque),Percent Estimate!!ANCESTRY!!Total population!!French (except Basque)
518,DP02_0130PE,ANCESTRY Total population French Canadian,Percent Estimate!!ANCESTRY!!Total population!!French Canadian
522,DP02_0131PE,ANCESTRY Total population German,Percent Estimate!!ANCESTRY!!Total population!!German
526,DP02_0132PE,ANCESTRY Total population Greek,Percent Estimate!!ANCESTRY!!Total population!!Greek
530,DP02_0133PE,ANCESTRY Total population Hungarian,Percent Estimate!!ANCESTRY!!Total population!!Hungarian
534,DP02_0134PE,ANCESTRY Total population Irish,Percent Estimate!!ANCESTRY!!Total population!!Irish
538,DP02_0135PE,ANCESTRY Total population Italian,Percent Estimate!!ANCESTRY!!Total population!!Italian
542,DP02_0136PE,ANCESTRY Total population Lithuanian,Percent Estimate!!ANCESTRY!!Total population!!Lithuanian
546,DP02_0137PE,ANCESTRY Total population Norwegian,Percent Estimate!!ANCESTRY!!Total population!!Norwegian
550,DP02_0138PE,ANCESTRY Total population Polish,Percent Estimate!!ANCESTRY!!Total population!!Polish
554,DP02_0139PE,ANCESTRY Total population Portuguese,Percent Estimate!!ANCESTRY!!Total population!!Portuguese
558,DP02_0140PE,ANCESTRY Total population Russian,Percent Estimate!!ANCESTRY!!Total population!!Russian
562,DP02_0141PE,ANCESTRY Total population Scotch-Irish,Percent Estimate!!ANCESTRY!!Total population!!Scotch-Irish
566,DP02_0142PE,ANCESTRY Total population Scottish,Percent Estimate!!ANCESTRY!!Total population!!Scottish
570,DP02_0143PE,ANCESTRY Total population Slovak,Percent Estimate!!ANCESTRY!!Total population!!Slovak
574,DP02_0144PE,ANCESTRY Total population Subsaharan African,Percent Estimate!!ANCESTRY!!Total population!!Subsaharan African
578,DP02_0145PE,ANCESTRY Total population Swedish,Percent Estimate!!ANCESTRY!!Total population!!Swedish
582,DP02_0146PE,ANCESTRY Total population Swiss,Percent Estimate!!ANCESTRY!!Total population!!Swiss
586,DP02_0147PE,ANCESTRY Total population Ukrainian,Percent Estimate!!ANCESTRY!!Total population!!Ukrainian
590,DP02_0148PE,ANCESTRY Total population Welsh,Percent Estimate!!ANCESTRY!!Total population!!Welsh
594,DP02_0149PE,ANCESTRY Total population West Indian (excluding Hispanic origin groups),Percent Estimate!!ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)
598,DP02_0150PE,COMPUTERS AND INTERNET USE Total households,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households
602,DP02_0151PE,COMPUTERS AND INTERNET USE Total households With a computer,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer
606,DP02_0152PE,COMPUTERS AND INTERNET USE Total households With a broadband Internet subscription,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
611,DP03_0001PE,EMPLOYMENT STATUS Population 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over
615,DP03_0002PE,EMPLOYMENT STATUS Population 16 years and over In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
619,DP03_0003PE,EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
623,DP03_0004PE,EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force Employed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
627,DP03_0005PE,EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force Unemployed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
631,DP03_0006PE,EMPLOYMENT STATUS Population 16 years and over In labor force Armed Forces,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces
635,DP03_0007PE,EMPLOYMENT STATUS Population 16 years and over Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
639,DP03_0008PE,EMPLOYMENT STATUS Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force
643,DP03_0009PE,EMPLOYMENT STATUS Civilian labor force Unemployment Rate,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
647,DP03_0010PE,EMPLOYMENT STATUS Females 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over
